sample_id,block_idx,is_correct,before_entropy,conf_entropy,after_entropy,delta_entropy,before_surprisal,conf_surprisal,after_surprisal,delta_surprisal,conf_length_tokens
66,0,True,0.372713565826416,0.4579901099205017,0.3659300208091736,-0.006783545017242432,0.6515686511993408,0.6892618536949158,0.2648724913597107,-0.3866961598396301,7
67,0,True,0.4900455176830292,0.41468334197998047,0.3739047944545746,-0.11614072322845459,0.897485613822937,0.816624641418457,0.2694329619407654,-0.6280526518821716,7
68,0,True,0.35807740688323975,0.4311135709285736,0.36564013361930847,0.007562726736068726,0.6807464957237244,0.7247562408447266,0.2278243750333786,-0.45292210578918457,7
69,0,False,0.4336352050304413,0.42302653193473816,0.3569091260433197,-0.07672607898712158,0.7946565747261047,0.7221850156784058,0.23166292905807495,-0.5629936456680298,7
70,0,True,0.3940450847148895,0.4472103714942932,0.37244847416877747,-0.02159661054611206,0.9678319096565247,0.7277780771255493,0.27841752767562866,-0.689414381980896,7
71,0,True,0.30917683243751526,0.43005749583244324,0.35702627897262573,0.047849446535110474,0.6233808994293213,0.7057202458381653,0.25203123688697815,-0.37134966254234314,7
72,0,True,0.4072192907333374,0.4181738793849945,0.3683933615684509,-0.038825929164886475,0.6944947242736816,0.7980168461799622,0.2330550253391266,-0.46143969893455505,7
73,0,True,0.4656822085380554,0.42748624086380005,0.37179267406463623,-0.09388953447341919,0.7291557192802429,0.6967753171920776,0.2557516098022461,-0.4734041094779968,7
74,0,True,0.3543980121612549,0.4372909963130951,0.35071706771850586,-0.0036809444427490234,0.6615137457847595,0.7289201617240906,0.2246873676776886,-0.4368263781070709,7
75,0,True,0.4285631477832794,0.4357026517391205,0.36349135637283325,-0.06507179141044617,0.5767707824707031,0.6887686848640442,0.24355140328407288,-0.33321937918663025,7
76,0,True,0.4206998646259308,0.42540597915649414,0.35352516174316406,-0.06717470288276672,0.7400184273719788,0.7719273567199707,0.25253576040267944,-0.4874826669692993,7
77,0,True,0.4670740067958832,0.4163181483745575,0.36870884895324707,-0.09836515784263611,0.7134348750114441,0.8270150423049927,0.23820087313652039,-0.4752340018749237,7
78,0,True,0.37582141160964966,0.41604939103126526,0.3573300242424011,-0.018491387367248535,0.6019781827926636,0.8445876836776733,0.24001248180866241,-0.36196571588516235,7
79,0,True,0.31229367852211,0.4293956160545349,0.3739822804927826,0.06168860197067261,0.6547150015830994,0.7202722430229187,0.2843131422996521,-0.37040185928344727,7
80,0,True,0.48083406686782837,0.424997478723526,0.3625313639640808,-0.11830270290374756,1.4609395265579224,0.7425866723060608,0.22912846505641937,-1.2318110466003418,7
81,0,True,0.3398228883743286,0.4342966675758362,0.36797821521759033,0.02815532684326172,0.6719267964363098,0.6806096434593201,0.2633800804615021,-0.40854671597480774,7
82,0,True,0.34707534313201904,0.43448278307914734,0.36801862716674805,0.020943284034729004,0.6843223571777344,0.7065009474754333,0.21369622647762299,-0.4706261157989502,7
83,0,True,0.29819002747535706,0.43502944707870483,0.35969051718711853,0.061500489711761475,0.6992916464805603,0.8477038145065308,0.22925841808319092,-0.4700332283973694,7
